TYPE,COMMON-NAME,FRENCH-NAME,ENGLISH-NAME,CODE,CODE-NUMBER
,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Dendrocygna autumnalis,BBWD,1.0
,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,FUWD,1.0
,Emperor Goose,Oie empereur,Anser canagicus,EMGO,2.0
,Snow Goose,Oie des neiges,Anser caerulescens,SNGO,1.0
,Ross's Goose,Oie de Ross,Anser rossii,ROGO,1.0
,Greater White-fronted Goose,Oie rieuse,Anser albifrons,GWFG,1.0
,Brant,Bernache cravant,Branta bernicla,BRAN,1.0
,Cackling Goose,Bernache de Hutchins,Branta hutchinsii,CACG,1.0
,Canada Goose,Bernache du Canada,Branta canadensis,CANG,1.0
,Hawaiian Goose,Bernache néné,Branta sandvicensis,HAGO,2.0
,Mute Swan,Cygne tuberculé,Cygnus olor,MUSW,1.0
,Trumpeter Swan,Cygne trompette,Cygnus buccinator,TRUS,1.0
,Tundra Swan,Cygne siffleur,Cygnus columbianus,TUSW,1.0
,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,EGGO,2.0
,Muscovy Duck,Canard musqué,Cairina moschata,MUDU,2.0
,Wood Duck,Canard branchu,Aix sponsa,WODU,1.0
,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,BWTE,1.0
,Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,CITE,1.0
,Northern Shoveler,Canard souchet,Spatula clypeata,NSHO,1.0
,Gadwall,Canard chipeau,Mareca strepera,GADW,1.0
,Eurasian Wigeon,Canard siffleur,Mareca penelope,EUWI,2.0
,American Wigeon,Canard d'Amérique,Mareca americana,AMWI,1.0
,Hawaiian Duck,Canard des Hawaï,Anas wyvilliana,HAWD,2.0
,Mallard,Canard colvert,Anas platyrhynchos,MALL,1.0
,Mexican Duck,Canard du Mexique,Anas diazi,MEDU,2.0
,American Black Duck,Canard noir,Anas rubripes,ABDU,1.0
,Mottled Duck,Canard brun,Anas fulvigula,MODU,1.0
,Northern Pintail,Canard pilet,Anas acuta,NOPI,1.0
,Green-winged Teal,Sarcelle d'hiver,Anas crecca,GWTE,1.0
,Canvasback,Fuligule à dos blanc,Aythya valisineria,CANV,1.0
,Redhead,Fuligule à tête rouge,Aythya americana,REDH,1.0
,Ring-necked Duck,Fuligule à collier,Aythya collaris,RNDU,1.0
,Greater Scaup,Fuligule milouinan,Aythya marila,GRSC,1.0
,Lesser Scaup,Petit Fuligule,Aythya affinis,LESC,1.0
,Steller's Eider,Eider de Steller,Polysticta stelleri,STEI,2.0
,Spectacled Eider,Eider à lunettes,Somateria fischeri,SPEI,2.0
,King Eider,Eider à tête grise,Somateria spectabilis,KIEI,2.0
,Common Eider,Eider à duvet,Somateria mollissima,COEI,1.0
,Harlequin Duck,Arlequin plongeur,Histrionicus histrionicus,HADU,1.0
,Surf Scoter,Macreuse à front blanc,Melanitta perspicillata,SUSC,1.0
,White-winged Scoter,Macreuse à ailes blanches,Melanitta deglandi,WWSC,1.0
,Black Scoter,Macreuse à bec jaune,Melanitta americana,BLSC,1.0
,Long-tailed Duck,Harelde kakawi,Clangula hyemalis,LTDU,1.0
,Bufflehead,Petit Garrot,Bucephala albeola,BUFF,1.0
,Common Goldeneye,Garrot à oeil d'or,Bucephala clangula,COGO,1.0
,Barrow's Goldeneye,Garrot d'Islande,Bucephala islandica,BAGO,1.0
,Hooded Merganser,Harle couronné,Lophodytes cucullatus,HOME,1.0
,Common Merganser,Grand Harle,Mergus merganser,COME,1.0
,Red-breasted Merganser,Harle huppé,Mergus serrator,RBME,1.0
,Ruddy Duck,Érismature rousse,Oxyura jamaicensis,RUDU,1.0
,Plain Chachalaca,Ortalide chacamel,Ortalis vetula,PLCH,2.0
,Mountain Quail,Colin des montagnes,Oreortyx pictus,MOUQ,1.0
,Northern Bobwhite,Colin de Virginie,Colinus virginianus,NOBO,1.0
,Scaled Quail,Colin écaillé,Callipepla squamata,SCQU,1.0
,California Quail,Colin de Californie,Callipepla californica,CAQU,1.0
,Gambel's Quail,Colin de Gambel,Callipepla gambelii,GAQU,1.0
,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,MONQ,2.0
,Wild Turkey,Dindon sauvage,Meleagris gallopavo,WITU,1.0
,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,RUGR,1.0
,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,SPGR,2.0
,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,WIPT,2.0
,Rock Ptarmigan,Lagopède alpin,Lagopus muta,ROPT,2.0
,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,WTPT,2.0
,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,GRSG,1.0
,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,GUSG,2.0
,Dusky Grouse,Tétras sombre,Dendragapus obscurus,DUGR,2.0
,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,SOGR,2.0
,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,STGR,2.0
,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,GRPC,2.0
,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,LEPC,2.0
,Gray Partridge,Perdrix grise,Perdix perdix,GRAP,2.0
,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,RNEP,1.0
,Kalij Pheasant,Faisan leucomèle,Lophura leucomelanos,KAPH,2.0
,Indian Peafowl,Paon bleu,Pavo cristatus,INPE,2.0
,Gray Francolin,Francolin gris,Francolinus pondicerianus,GRAF,2.0
,Black Francolin,Francolin noir,Francolinus francolinus,BLFR,2.0
,Red Junglefowl,Coq bankiva,Gallus gallus,REJU,2.0
,Himalayan Snowcock,Tétraogalle de l'Himalaya,Tetraogallus himalayensis,HISN,2.0
,Chukar,Perdrix choukar,Alectoris chukar,CHUK,2.0
,Erckel's Francolin,Francolin d'Erckel,Pternistis erckelii,ERFR,2.0
,Least Grebe,Grèbe minime,Tachybaptus dominicus,LEGR,2.0
,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,PBGR,1.0
,Horned Grebe,Grèbe esclavon,Podiceps auritus,HOGR,1.0
,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,RNGR,1.0
,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,EAGR,1.0
,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,WEGR,1.0
,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,CLGR,1.0
,Rock Pigeon,Pigeon biset,Columba livia,ROPI,1.0
,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,WCPI,2.0
,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,RBPI,2.0
,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,BTPI,1.0
,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,EUCD,1.0
,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,SPDO,2.0
,Zebra Dove,Géopélie zébrée,Geopelia striata,ZEBD,2.0
,Inca Dove,Colombe inca,Columbina inca,INDO,1.0
,Common Ground Dove,Colombe à queue noire,Columbina passerina,CGDO,1.0
,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,WTDO,2.0
,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,WWDO,1.0
,Mourning Dove,Tourterelle triste,Zenaida macroura,MODO,1.0
